Date, HumidityOut, HumidityIn
1390098275203,52.9,35.8
1390099175263,52.7,36.3
1390100975463,56.2,38.4
1390101875563,55.8,39.4
1390102775665,57.9,39.6
1390103675763,58.5,39.7
1390104575854,60.3,40.0
1390106376054,59.4,41.1
1390107276134,63.3,41.3
1390108176193,61.7,41.7
1390109076294,63,42.1
1390109976343,64.4,42.7
1390110876435,61.1,42.9
1390111776544,62.5,43.1
1390112676593,66.1,43.2
1390113576694,67.5,43.3
1390114476794,65.1,43.2
1390115376885,62,43.6
1390116277008,68.2,43.6
1390117177094,67.8,44.0
1390118077194,66,44.1
1390118977284,66,44.4
1390119877374,64.2,44.4
1390120777434,69.2,45.0
1390121677544,67.4,45.2
1390122577644,67.5,45.4
1390123477744,63.5,45.8
1390124377754,67.7,45.9
1390125278673,66.5,46.1
1390126177883,69.1,46.5
1390127077985,67.4,46.5
1390127978005,65.8,47.0
1390128878103,66.2,47.3
1390129778204,66.9,47.6
1390130678295,65.9,47.8
1390131578394,64.3,48.1
1390132478495,65.7,48.2
1390133378584,65.3,48.4
1390134278674,65.3,48.6
1390136978944,67.2,48.9
1390137879044,67.2,49.2
1390138779115,67.4,49.5
1390139679214,67,49.5
1390140579314,67.2,49.6
1390141479354,67,49.7
1390142379464,67.4,49.8
1390143279554,66.8,49.8
1390144179665,65.1,50.1
1390145079785,65,50.4
1390145979794,65.9,50.3
1390146879904,68.3,50.5
1390147780004,44,50.8
1390148680034,30.4,51.5
1390149580124,30.4,52.2
1390150480234,28,52.8
1390151380305,26.1,53.7
1390152280414,40.6,54.4
1390153180514,39.3,55.4
1390154080644,37.3,55.5
1390154980725,30.8,55.5
1390155880814,24.8,54.4
1390156780916,26,55.2
1390157681014,27.7,55.4
1390158581104,33,55.0
1390159481215,32.9,54.6
1390160381324,32.7,55.3
1390161281353,33.8,54.7
1390162181456,32.2,53.9
1390163081544,30.8,53.1
1390163981654,27.9,52.2
1390164881744,26.5,29.5
1390165781745,26.1,29.5
1390166681835,27.6,29.5
1390167581924,26.7,27.6
1390168482024,25.8,26.5
1390169382125,25.4,28.5
